vendor_id,avg_monthly_upi_inflow,upi_inflow_trend_pct,upi_inflow_volatility,upi_txn_count_monthly,avg_ticket_size,gig_order_volume_monthly,gig_order_trend_pct,business_vintage_months,bank_account_tenure_months,cash_recycling_score,existing_credit_lines,seasonal_dependency_index,gst_registered,epfo_active,label
V00024,112532.0,-0.8283388590028529,0.2396110026817274,227.0,496.0,211.0,1.3683541872273373,28.0,25.0,0.3365122819821573,1,0.221,0,0,1
V00025,87893.0,0.02855263598287916,0.10459370897918992,313.0,281.0,203.0,2.8819021713387967,51.0,50.0,0.16846473163974182,0,0.231,0,0,0
V00026,100587.0,-3.2954360621993004,0.3985023967677446,334.0,301.0,279.0,-3.7757463129242383,30.0,27.0,0.3971710740291721,3,0.555,0,0,1
V00027,38556.0,-5.083227396366384,0.4107068789375655,219.0,176.0,314.0,-10.719253861164137,15.0,17.0,0.315889165194794,0,0.041,0,0,0
V00028,70723.0,-2.3104531624747198,0.14191525712329991,225.0,315.0,221.0,-1.9991569227187924,18.0,19.0,0.40180404635503303,1,0.527,0,0,1
V00029,83286.0,-2.599103659383232,0.23835518519114257,300.0,278.0,101.0,-6.394283048537892,33.0,28.0,0.5992089350227701,5,0.532,0,0,1
V00030,48945.0,-3.638304834605529,0.287240328083217,147.0,333.0,265.0,1.4343991166028145,32.0,32.0,0.6253872779936557,2,0.367,0,0,1
V00031,109941.0,0.3547778425246358,0.17876098862529033,418.0,263.0,264.0,1.818767350383298,37.0,33.0,0.11191941026354552,0,0.195,0,0,0
V00032,33288.0,-4.7068735943738425,0.09726869970324269,272.0,122.0,152.0,0.21710902683662314,6.0,3.0,0.37162501975858175,0,0.697,1,0,1
V00033,57984.0,-0.34400587411608724,0.15072201566556265,372.0,156.0,276.0,-1.0826039215081706,21.0,14.0,0.09692226604993592,1,0.239,0,0,0
V00034,118699.0,-3.8974670469473223,0.05795179474285328,185.0,643.0,111.0,-2.29095557184588,25.0,25.0,0.1792500822482278,0,0.398,0,0,0
V00035,41434.0,-2.323192679630684,0.5602336062919319,434.0,95.0,269.0,-4.849646259280863,23.0,25.0,0.16987049654918626,2,0.62,0,0,1
V00036,81601.0,4.255149288237863,0.053196977787139055,480.0,170.0,177.0,1.3340906819158522,26.0,24.0,0.20212597161692025,0,0.316,0,1,0
V00037,39394.0,3.3152282698300195,0.17552147568855542,283.0,139.0,297.0,2.0419961654827983,18.0,19.0,0.0,0,0.477,0,0,0
V00038,104752.0,2.1433074462869564,0.030311794905764307,276.0,379.0,125.0,1.9671468898427764,29.0,27.0,0.2905778519182669,0,0.0,0,0,0
V00039,63006.0,1.6110080855947386,0.2187232765965661,434.0,145.0,438.0,2.9188632863596284,37.0,32.0,0.037709116600255936,0,0.296,0,0,1
V00040,52509.0,1.5121812928085316,0.035206370143126796,327.0,161.0,270.0,4.327266998282815,47.0,42.0,0.07484484365117304,0,0.311,1,0,0
V00041,59591.0,-3.317959504863361,0.2935406573165771,342.0,174.0,307.0,-5.243854594569722,37.0,30.0,0.34156259185578675,2,0.434,0,0,1
V00042,92497.0,-1.4635617129276024,0.02,143.0,646.0,206.0,1.7020210408620395,50.0,43.0,0.07584208268177965,1,0.158,0,0,0
V00043,52994.0,3.507781740806413,0.14776942008652236,294.0,180.0,323.0,-0.14944033261094836,14.0,8.0,0.0,0,0.228,0,0,0
V00044,78947.0,0.8072491706992733,0.10835116030392859,319.0,247.0,157.0,-1.211338201490246,53.0,49.0,0.12481571241089184,1,0.316,0,0,0
V00045,77052.0,0.694816521675307,0.0776075125468035,308.0,250.0,270.0,1.7040959966984661,4.0,2.0,0.04062906105134787,0,0.0,0,0,0
V00046,96959.0,-2.380715632575187,0.4289270355845014,209.0,463.0,336.0,-0.5847797321015926,20.0,21.0,0.3431556933777077,2,0.19,0,0,1
V00047,78090.0,-0.2960884829195908,0.35545636736365094,420.0,186.0,347.0,-5.289083784301743,41.0,39.0,0.9061460334511562,3,0.0,0,0,1
V00048,119641.0,-5.527144687848218,0.22747290445874904,449.0,266.0,222.0,-1.2674449571245163,28.0,26.0,0.3436461400221609,1,0.346,0,1,1
V00049,100416.0,-1.644036235923036,0.12970486047994728,392.0,256.0,243.0,-2.166623942137347,37.0,32.0,0.0073220917580810105,0,0.258,0,1,0
V00050,85187.0,3.875424765558442,0.053914718677295574,366.0,233.0,379.0,-2.0451948949327923,52.0,50.0,0.021305910227509415,0,0.308,0,0,0
V00051,63807.0,0.47760918825457677,0.3214888253881408,390.0,164.0,310.0,-4.356130225068008,20.0,19.0,0.5005419997403349,1,0.348,1,0,1
V00052,71923.0,3.2653529685492835,0.09541683267535812,218.0,330.0,355.0,-4.301253491797579,28.0,27.0,0.025520922989752212,1,0.026,0,0,0
V00053,73952.0,-3.415836924716889,0.29736549974491067,243.0,305.0,104.0,-6.620202424591208,13.0,11.0,0.169724989704492,1,0.441,0,0,1
V00054,130137.0,2.078926934348306,0.3981939890927247,197.0,662.0,316.0,-3.6762617510680426,19.0,20.0,0.40606041646568086,3,0.318,0,0,1
V00055,126255.0,-2.2410866630553006,0.27680085261492826,269.0,469.0,157.0,-5.434185141274604,21.0,20.0,0.5551460804756421,6,0.356,0,0,1
V00056,81083.0,-4.1085488874241,0.21107360852930213,351.0,231.0,75.0,-4.856539640832924,40.0,40.0,0.23166743064891146,0,0.358,0,0,0
V00057,38604.0,-9.264047067120826,0.18222566608290147,381.0,101.0,193.0,-0.20070446347864657,44.0,41.0,0.1804392886435444,3,0.611,0,0,1
V00058,80829.0,4.579249749314155,0.38730718906547956,290.0,279.0,249.0,-5.064404105133708,8.0,8.0,0.349370037105781,1,0.444,0,0,1
V00059,62796.0,3.014532982372682,0.3582080410209196,322.0,195.0,333.0,-9.723976363369587,17.0,15.0,0.41166120709190945,0,0.242,0,0,1
V00060,85452.0,-1.2059106238548398,0.14008758149138903,379.0,225.0,312.0,2.0189716714084476,45.0,44.0,0.5781212371073029,3,0.425,0,0,0
V00061,104501.0,0.45968070857406834,0.08150251153130764,365.0,287.0,339.0,-2.3961653404499588,45.0,42.0,0.0,1,0.0,0,0,1
V00062,36806.0,-1.2226755834164102,0.41278246610999864,486.0,76.0,300.0,-5.431038000054402,2.0,1.0,0.4059535938919723,3,0.172,0,0,1
V00063,62948.0,1.8627861190345327,0.05766399232791635,369.0,171.0,218.0,0.5702474957506501,14.0,3.0,0.006751193681316853,0,0.149,0,0,0
V00064,95603.0,-2.861989317103377,0.43821015325803053,175.0,547.0,396.0,-9.017675984272401,35.0,33.0,0.5537354034647787,2,0.281,0,0,1
V00065,62510.0,-2.661450036469653,0.11389824204656965,612.0,102.0,191.0,-0.4541325404213813,62.0,62.0,0.1810539111832014,1,0.206,0,0,0
V00066,86805.0,-2.1354213755637534,0.34204733744645377,272.0,320.0,205.0,-5.6620619009254005,32.0,31.0,0.44501284106657624,0,0.665,0,0,1
V00067,78733.0,0.0029848319610626325,0.06952068477888562,355.0,222.0,298.0,-3.0180371644179287,8.0,2.0,0.0,0,0.348,0,0,0
V00068,73508.0,1.5165968214005197,0.48792412509142824,333.0,221.0,165.0,0.09593083397599383,20.0,18.0,0.04182799257304541,0,0.0,0,0,1
V00069,117384.0,-2.0896465685792966,0.028558947744387546,332.0,353.0,241.0,-2.381499650309615,32.0,28.0,0.09870169810204454,1,0.278,0,0,0
V00070,45512.0,-3.309188164598785,0.2878862431676903,275.0,165.0,383.0,-3.3637583253880363,22.0,24.0,0.3176317394732464,1,0.347,0,0,1
V00071,92812.0,-4.813342324271662,0.25263132015393286,293.0,317.0,146.0,-3.563657423159359,2.0,6.0,0.6237609340268886,0,0.041,0,0,1
V00072,85703.0,-1.0003434291874649,0.3691237457423562,268.0,319.0,151.0,-0.4478688901793623,36.0,29.0,0.4164551834122161,2,0.361,0,0,1
V00073,133305.0,-3.2137773876950018,0.31998142671470053,385.0,346.0,275.0,-7.585080179654494,21.0,22.0,0.2943503848350918,1,0.368,0,0,0
V00074,73352.0,2.4859404512006766,0.1027202132356367,325.0,226.0,181.0,0.8189922511646965,46.0,47.0,0.12800809619054884,0,0.259,0,1,1
V00075,123031.0,-0.6897818705852136,0.12508873859905853,218.0,564.0,337.0,3.2124319381126765,41.0,39.0,0.08888067284592326,1,0.43,1,0,0
V00076,110230.0,-7.56228854991701,0.3906528191479396,299.0,368.0,239.0,-2.144941063487695,22.0,20.0,0.575697550661432,3,0.159,0,0,1
V00077,58037.0,-1.3099749840765558,0.0923256456107498,389.0,149.0,68.0,-0.48047969231340726,18.0,19.0,0.0,1,0.388,0,0,0
V00078,72764.0,0.24728962956153477,0.07338027345827332,324.0,225.0,175.0,-2.218093225577631,39.0,38.0,0.13471652279784005,0,0.129,1,1,1
V00079,94117.0,4.35176606013153,0.4448075714368869,369.0,255.0,214.0,-0.42949927653166714,19.0,21.0,0.6421973738894644,3,0.273,0,0,1
V00080,81421.0,-3.7401100537952128,0.052075586441053735,328.0,249.0,206.0,-1.5806838348078651,32.0,28.0,0.07296061561486916,0,0.211,0,0,0
V00081,83246.0,-0.5622486922600141,0.06466547673900651,368.0,226.0,294.0,1.191126669109865,33.0,32.0,0.05168916529167722,0,0.358,0,0,0
V00082,100138.0,-3.703474380313514,0.40980287148386163,397.0,252.0,213.0,-3.593588851009227,21.0,24.0,0.33042920105374596,1,0.338,1,0,1
V00083,90473.0,0.4051592880410326,0.02,306.0,296.0,271.0,-2.659608802938756,32.0,33.0,0.15462192444781214,0,0.244,0,0,0
V00084,78244.0,1.5735980518950141,0.02,290.0,270.0,321.0,2.3897927958228635,26.0,29.0,0.10877389148444422,1,0.065,0,0,0
V00085,43377.0,1.0868109646118755,0.08743972705537406,279.0,156.0,237.0,-1.8368931482218007,60.0,59.0,0.07730353773154215,1,0.111,0,0,0
V00086,82834.0,4.936899348680102,0.05215545880318147,245.0,338.0,323.0,-2.7212910011252984,33.0,33.0,0.10346320924582532,2,0.37,0,0,0
V00087,81251.0,1.4041888293868876,0.09176482563056132,338.0,240.0,287.0,1.0428748700766812,9.0,2.0,0.0,0,0.25,0,0,0
V00088,76680.0,1.6168005665433687,0.15825591744689846,335.0,229.0,114.0,1.896956659242436,32.0,30.0,0.01555640011115933,0,0.218,0,0,0
V00089,87567.0,3.5428221117625043,0.13731468161533003,315.0,278.0,257.0,0.45164539283750615,14.0,10.0,0.041736428622999325,0,0.228,0,0,0
V00090,70784.0,-2.5864068410390857,0.2546978930413945,274.0,259.0,234.0,-5.727998735333385,10.0,9.0,0.5518746249321749,0,0.708,0,0,1
V00091,76410.0,-0.5852135270372465,0.07609190405433135,472.0,162.0,271.0,-3.283988056744386,38.0,38.0,0.024525111716124037,0,0.277,0,0,0
V00092,125412.0,2.9445490355844255,0.04174563810111704,587.0,214.0,187.0,-1.337172607579282,47.0,44.0,0.10736051122313389,0,0.222,0,0,0
V00093,96051.0,-4.587733574674612,0.15385357658762105,265.0,362.0,363.0,-0.43367199770003984,30.0,28.0,0.5553845565063845,3,0.486,0,0,1
V00094,45085.0,0.1372655545180408,0.4639298161267939,351.0,129.0,238.0,-3.2729574276436306,8.0,9.0,0.43032164012426083,0,0.296,0,0,1
V00095,75839.0,-9.90028532726946,0.3538258822993314,481.0,158.0,166.0,-2.9672271981802867,7.0,6.0,0.42633987544511887,2,0.295,0,0,1
V00096,97288.0,1.3094453070646597,0.08067416040309938,528.0,184.0,174.0,0.3963022584056487,10.0,12.0,0.09053616985004287,0,0.405,0,0,0
V00097,86567.0,-2.7974592923340897,0.34301419063494054,323.0,268.0,149.0,-6.689017956526604,26.0,28.0,0.2849106645096783,1,0.296,0,0,1
V00098,86798.0,0.5594780388582786,0.4436691159311081,237.0,367.0,124.0,-3.3365580642159376,21.0,19.0,0.3653095221116341,1,0.409,0,0,1
V00099,127272.0,0.45696991572435564,0.5051191904623171,104.0,1224.0,175.0,1.3552599664540481,2.0,1.0,0.8125735367719177,1,0.498,0,0,1
V00100,101555.0,-4.677500913551431,0.2061098614333382,389.0,261.0,177.0,-6.195831606759995,2.0,1.0,0.2381158216339365,2,0.578,0,0,1
V00101,65216.0,3.355552210168356,0.29558222237526177,186.0,350.0,267.0,1.7701340289953822,16.0,15.0,0.6357291016302905,0,0.633,0,0,1
V00102,112389.0,0.4350683841419306,0.14249981545460838,492.0,228.0,367.0,-1.4353785961596257,45.0,43.0,0.06791855625940077,0,0.476,0,0,0
V00103,113893.0,-6.3702126684993,0.4110905889607828,346.0,329.0,295.0,3.1157061699878112,12.0,16.0,0.8550443989926738,1,0.429,0,0,1
V00104,64571.0,-6.231974168660363,0.3347159112262821,502.0,129.0,342.0,-12.80209421016226,8.0,10.0,0.693432062722168,0,0.448,0,0,1
V00105,89331.0,-6.043795430322588,0.47184904232486086,212.0,422.0,149.0,-5.122715293558038,31.0,31.0,0.8415668456349947,3,0.47,0,0,1
V00106,53061.0,-6.537434969521719,0.453427740838984,309.0,172.0,409.0,3.4859828557464683,4.0,5.0,0.3590271739858956,2,0.289,0,0,1
V00107,83975.0,2.2424851857585786,0.10705613071504706,266.0,315.0,297.0,5.711623430784637,49.0,47.0,0.17029541420546368,0,0.0,1,0,0
V00108,82519.0,-3.3024635220465237,0.44909717040241504,423.0,195.0,267.0,-7.802511461768481,18.0,17.0,0.5840231442801882,1,0.231,1,0,1
V00109,83038.0,-4.388855992167366,0.3310670704093055,311.0,267.0,91.0,-0.7354550378305535,59.0,56.0,0.4928506270633087,2,0.472,0,1,0
V00110,60370.0,1.3791041966270452,0.043458850425858855,181.0,334.0,257.0,-3.1130108890467603,54.0,49.0,0.030129649341637428,0,0.307,0,1,0
V00111,86638.0,-2.0140376016839108,0.2628270683309565,487.0,178.0,289.0,-13.12886640589996,23.0,28.0,0.6706959372794344,0,0.184,0,0,1
V00112,61058.0,4.757925781219873,0.4548921833960318,237.0,257.0,282.0,-2.835754770944733,29.0,30.0,0.21550497439110222,2,0.592,0,0,1
V00113,80753.0,-4.922560104402588,0.38257541724027166,206.0,393.0,344.0,-6.277105299722726,27.0,23.0,0.3277681605335019,1,0.418,0,0,1
V00114,89779.0,1.7081425603580063,0.09435727908720375,187.0,480.0,293.0,0.4068237751971987,6.0,6.0,0.09112300754893679,1,0.201,0,0,0
V00115,80837.0,0.07747173984706013,0.14600825608626605,348.0,232.0,319.0,2.0744942892613603,25.0,29.0,0.0,0,0.289,0,0,0
V00116,106701.0,0.18210712197381207,0.3756998171183096,298.0,358.0,208.0,-9.00093697040545,53.0,57.0,0.5460024152115394,1,0.357,0,0,0
V00117,94247.0,-6.111759892994278,0.4652796573576071,351.0,268.0,148.0,-7.713711570828704,31.0,31.0,0.15097163513271614,0,0.257,0,0,1
V00118,77008.0,-2.2586818393628905,0.1256099953712067,597.0,129.0,162.0,4.238622610911637,26.0,24.0,0.2680060057923136,0,0.47,0,0,0
V00119,31919.0,2.08429210384039,0.05844240277055643,421.0,76.0,420.0,0.5044521296577817,24.0,20.0,0.14635657899919097,1,0.152,0,0,0
V00120,81168.0,1.386070858723006,0.08767485827520204,301.0,270.0,199.0,-1.508210146374763,47.0,46.0,0.0,0,0.294,0,0,0
V00121,80528.0,-3.8331609375486386,0.3504134858552214,371.0,217.0,178.0,-3.2641416421612535,20.0,22.0,0.5373845435383804,3,0.412,0,0,1
V00122,61718.0,2.00041319204377,0.09556380407910028,302.0,205.0,163.0,5.075626903854958,41.0,44.0,0.142084179001681,1,0.365,0,0,0
V00123,83950.0,-4.84436429885722,0.19993743834195737,172.0,487.0,316.0,-2.251846785649563,11.0,12.0,0.5275803729222985,1,0.425,0,0,1
V00124,86665.0,1.8655068246856539,0.2797534795658253,164.0,528.0,156.0,-2.498810395960763,20.0,18.0,0.36858408676366833,4,0.342,0,0,0
V00125,114387.0,0.20509652774120476,0.06704896419957998,250.0,458.0,214.0,3.018095465679924,38.0,33.0,0.0,0,0.094,0,0,0
V00126,125423.0,0.504883535213809,0.15867109116053119,214.0,586.0,285.0,3.1709675562966577,34.0,32.0,0.13148981728044956,1,0.277,0,0,0
V00127,123148.0,-0.13661698066496508,0.32112280506829655,308.0,399.0,298.0,-6.079279192373119,2.0,1.0,0.5265385366320806,3,0.367,0,0,1
V00128,94764.0,0.04233921832503684,0.09905177372519954,408.0,232.0,218.0,-1.8415282671162294,56.0,53.0,0.032281732190891206,0,0.43,0,0,0
V00129,81404.0,0.33853491306718886,0.18704483811929962,336.0,243.0,198.0,1.5824759013575997,30.0,29.0,0.037594866718666894,0,0.088,0,0,0
V00130,72757.0,-1.0602180847274871,0.2849695272322563,448.0,162.0,181.0,-3.0139643012223134,34.0,36.0,0.3996760042294734,2,0.5,0,0,1
V00131,85819.0,1.3655026129270154,0.09721436283059567,421.0,204.0,313.0,0.10758722973671478,29.0,25.0,0.0658060662943991,0,0.242,0,0,0
V00132,96210.0,-10.42614803497847,0.49395329716646746,60.0,1604.0,322.0,-1.970242986395322,15.0,17.0,0.5962726522364988,3,0.371,0,0,1
V00133,93104.0,-2.0205232904706625,0.13291020434309078,275.0,339.0,374.0,2.8138117082435237,34.0,37.0,0.0,0,0.336,0,0,0
V00134,79634.0,2.274640055883366,0.13175564858578773,369.0,216.0,301.0,-1.3785616554367315,19.0,17.0,0.0,0,0.341,0,0,1
V00135,89185.0,-8.426831321226683,0.2573909228191768,476.0,187.0,280.0,-0.3389587728645744,23.0,28.0,0.49489211008784784,1,0.23,0,0,1
V00136,83332.0,-1.3208947872365664,0.4436116267248332,355.0,235.0,302.0,-9.725396950689033,38.0,36.0,0.5257188670954113,4,0.424,0,0,1
V00137,55819.0,4.518335671309568,0.046433834095050516,313.0,179.0,171.0,0.38021913996546886,17.0,17.0,0.0,0,0.207,0,0,0
V00138,76120.0,-5.7117963573655,0.11871472722864218,430.0,177.0,339.0,-4.124920921124751,24.0,24.0,0.34470613134889827,1,0.181,0,0,1
V00139,116631.0,0.10920300602687588,0.15679333686806274,409.0,285.0,273.0,-1.7359722944449005,9.0,8.0,0.0,0,0.227,0,0,0
V00140,49959.0,2.4440384450046784,0.12858502296331184,354.0,141.0,262.0,2.2418498440144408,39.0,33.0,0.1957035546105101,0,0.32,0,0,0
V00141,88841.0,-8.805770824953358,0.31032972208316967,478.0,186.0,421.0,-7.623141376355207,26.0,27.0,0.4824591168588488,5,0.514,0,0,1
V00142,68177.0,-9.29124328173276,0.29951920279304045,226.0,302.0,277.0,-3.7491558709331527,28.0,27.0,0.2972709415566589,0,0.55,0,0,1
V00143,75424.0,-6.945424523025339,0.3651390482967763,506.0,149.0,171.0,-0.5735938921972328,15.0,14.0,0.18468397126611094,2,0.369,0,0,1
V00144,53811.0,2.298674258884051,0.10351317802675411,291.0,185.0,347.0,-1.5691256596785286,31.0,37.0,0.039440150014072084,0,0.255,0,0,0
V00145,137137.0,0.3102266290122797,0.39613842479402495,364.0,377.0,223.0,-4.916115280976065,29.0,23.0,0.8611752179178003,3,0.376,1,0,0
V00146,73481.0,-4.487983667440392,0.2070738702341646,362.0,203.0,228.0,-1.639906939521042,15.0,12.0,0.5131314161315806,1,0.461,0,0,1
V00147,48208.0,-9.040920095286085,0.4478524015315456,435.0,111.0,216.0,3.0364972672687807,38.0,35.0,0.27455848412685535,1,0.608,0,0,1
V00148,60350.0,-4.8773753012109085,0.18016825823268548,288.0,210.0,137.0,-3.234306240476176,17.0,12.0,0.2532388037073717,1,0.557,0,1,1
V00149,66666.0,1.0517164824712548,0.030017092657300196,436.0,153.0,323.0,4.659279433193983,43.0,39.0,0.0,0,0.07,0,0,0
V00150,54904.0,-4.543374579871439,0.2176936862664075,353.0,156.0,210.0,-1.9266182696501064,30.0,31.0,0.361497092643742,0,0.262,0,0,1
V00151,114216.0,0.517115963888813,0.1801928001466867,445.0,256.0,149.0,-7.675010025754557,53.0,57.0,0.33517294030134887,1,0.547,0,0,1
V00152,62009.0,0.32171556781642613,0.0987541005392213,290.0,214.0,314.0,2.5208322718143727,12.0,4.0,0.12642265993819202,0,0.399,0,0,0
V00153,91512.0,1.8852652686163767,0.15378020403672576,217.0,422.0,335.0,-0.9588069191491535,26.0,21.0,0.032597192944173764,1,0.151,0,0,0
V00154,89016.0,-2.69596895447852,0.36305642236454194,386.0,230.0,223.0,1.0353205236848193,14.0,10.0,0.27729045024154986,3,0.207,0,0,1
V00155,68586.0,1.4657179960653235,0.0368736820558857,356.0,192.0,265.0,3.30735681883124,32.0,32.0,0.2847945939679746,2,0.321,0,0,0
V00156,80536.0,0.27604260500123634,0.02,395.0,204.0,315.0,-0.1404054643348908,29.0,29.0,0.19673487413997628,1,0.103,0,0,0
V00157,86666.0,4.368585196957998,0.05172756210129574,469.0,185.0,167.0,2.9010027745440885,20.0,18.0,0.02805826966600991,0,0.033,1,0,0
V00158,99153.0,0.314598672552199,0.10338066573337218,191.0,520.0,236.0,3.5220631225933663,38.0,36.0,0.07949687116987725,0,0.209,0,0,1
V00159,60299.0,-4.362534398982984,0.5004811514479153,100.0,600.0,252.0,-1.5783034176514716,38.0,39.0,0.48227530721070805,3,0.506,0,0,1
V00160,66709.0,-1.8107824252456615,0.2672792215974412,187.0,357.0,372.0,-3.7720141181506177,26.0,29.0,0.519155261171166,1,0.473,0,0,1
V00161,83067.0,2.9581062321348215,0.09711049894833954,367.0,226.0,306.0,0.9477657095471802,39.0,40.0,0.0,0,0.25,0,0,0
V00162,90316.0,1.3982472764464038,0.16990333685988362,383.0,236.0,327.0,-1.2228379731153027,15.0,13.0,0.10083400630923244,0,0.109,0,0,0
V00163,94478.0,2.090376181484953,0.18272198942913156,397.0,238.0,128.0,-1.8447931496762628,43.0,37.0,0.2911592273156269,1,0.182,0,0,0
V00164,130159.0,0.5616122188986681,0.1423286474374863,246.0,530.0,311.0,-2.893095555225933,27.0,29.0,0.1244314716755428,1,0.05,0,1,0
V00165,49478.0,-3.209320900726134,0.42559093245620727,152.0,325.0,155.0,-3.8174131529054858,22.0,18.0,0.6619749224381937,2,0.675,0,0,0
V00166,20000.0,-9.726316947363966,0.4433955400728535,328.0,61.0,176.0,-3.4330193950833148,30.0,27.0,0.37320411425956734,2,0.062,0,0,1
V00167,78678.0,1.3828909564884444,0.06278263660432179,239.0,330.0,128.0,2.6463528764381667,45.0,38.0,0.04199663224073631,1,0.223,0,0,0
V00168,62108.0,-2.8480763410043446,0.11962212795923122,230.0,270.0,321.0,-3.958800910116024,44.0,47.0,0.18801080235581058,0,0.182,0,0,0
V00169,54900.0,2.029663656011093,0.11074292852292493,500.0,110.0,225.0,2.9531289968455834,10.0,6.0,0.0,0,0.229,0,0,0
V00170,103249.0,0.07181981526097347,0.02,382.0,270.0,190.0,-0.011096971644467546,14.0,12.0,0.031291448993344614,0,0.297,0,0,0
V00171,64767.0,-1.5712742698268394,0.13198195798160384,416.0,156.0,304.0,-1.6443650529595573,25.0,25.0,0.5610777351771358,0,0.182,0,0,0
V00172,60641.0,-2.5619902980401226,0.34447400327344657,345.0,176.0,365.0,-4.6893813028959945,39.0,41.0,0.37462429910236666,1,0.297,0,0,1
V00173,105150.0,0.2735108368907766,0.05871947127200282,364.0,289.0,315.0,-1.0207979593421532,41.0,33.0,0.027964528082287034,0,0.273,0,0,0
V00174,78744.0,0.08898383032605017,0.09204851191151969,326.0,242.0,217.0,0.3560393121123513,45.0,48.0,0.1728935984363635,0,0.214,0,0,0
V00175,74460.0,1.899403449104285,0.10340988602846002,492.0,151.0,316.0,-4.021464814937735,9.0,6.0,0.0,0,0.294,0,0,0
V00176,54752.0,2.1160607375533416,0.13951357774525172,376.0,146.0,262.0,-2.0001460666932056,29.0,25.0,0.03668791305702223,1,0.129,0,0,0
V00177,113038.0,-1.541101187573768,0.10704340289202728,389.0,291.0,167.0,1.2160179502978565,28.0,26.0,0.011364748269235593,0,0.274,0,0,0
